name,url,type,seal_brewer_member,ba_associate_member,ab_inbev,state
The Beer'd Brewing Company,www.beerdbrewing.com,Micro,Y,,,CT
(405) Brewing Co,www.405brewing.com,Micro,Y,,,OK
(512) Brewing Co,www.512brewing.com,Micro,Y,,,TX
???? Prodigy Brewing Company,www.prodigybrewingcompany.com,Contract,,,,CA
10 Barrel Brewing Co,www.10barrel.com,Large,,Y,25,OR
10 Barrel Brewing Co,www.10barrel.com,Large,,Y,25,ID
10 Barrel Brewing Co,10barrel.com,Large,,Y,25,CA
10 Barrel Brewing Co,,Large,,Y,25,OR
10 Barrel Brewing Co - Bend Pub,,Large,,Y,25,OR
10 Barrel Brewing Co - Denver,,Large,,Y,25,CO
10 Torr Distilling and Brewing,www.10torr.com,Micro,Y,,,NV
101 Brewery,www.101brewery.com,Brewpub,,,,WA
101 North Brewing Company,www.101northbeer.com,Micro,Y,,,CA
105 West Brewing Co,www.105westbrewing.com,Micro,Y,,,CO
10-56 Brewing Company,,Micro,,,,IN
10K Brewing,10KBrew.com,Micro,Y,,,MN
10th District Brewing Company,www.10thdistrictbrewing.com,Micro,,,,MA
11 Below Brewing Company,www.11belowbrewing.com,Micro,Y,,,TX
1188 Brewing Co,www.1188brewing.com,Brewpub,Y,,,OR
12 Gates Brewing Company,www.12gatesbrewing.com,Brewpub,Y,,,NY
12 West Brewing Company,www.12westbrewing.com,Micro,Y,,,AZ
12 West Brewing Company - Production Facility,,Micro,Y,,,AZ
127 Brewing,,Micro,Y,,,MI
12Degree Brewing,www.12degree.com,Brewpub,Y,,,CO
12welve Eyes Brewing,www.12welveEyes.com,Micro,Y,,,MN
13 Below Brewery,www.13belowbrewery.com,Micro,Y,,,OH
13 Point Brewing,www.13pointbrewing.com,Planning,,Y,,CA
13 Stripes Brewery,www.13StripesBrewery.com,Brewpub,Y,,,SC
13 Virtues Brewing Co,www.13virtuesbrewing.com,Brewpub,Y,,,OR
1323 R & D,www.1323rnd.com,Micro,Y,,,NC
13th Child Brewery,,Micro,,,,NJ
14 Cannons Brewing Company,14cannons.com,Micro,Y,,,CA
14 Lakes Brewery,,Micro,,,,MN
1487 Brewery,,Micro,Y,,,OH
14er Brewing Company,www.14erBrewing.com,Proprietor,Y,,,CO
14th Star Brewing,www.14thstarbrewing.com,Micro,Y,,,VT
16 Lots Brewing,www.16lots.com,Brewpub,,,,OH
16 Mile Brewing Co,www.16milebrewery.com,Micro,,,,DE
16 Stone Brewpub,www.16stonebrewpub.com,Brewpub,,,,NY
"1623 Brewing CO, llc",,Contract,,Y,,MD
1718 Ocracoke Brewing,www.ocracokebrewing.com,Brewpub,,,,NC
1766 Brewing Company,,Micro,,,,NH
1781 Brewing Company,,Micro,Y,,,VA
17th State Brewing Company,www.17statebrewco.com,Contract,,,,OH
180 and Tapped,www.180andtapped.com,Micro,,,,PA
1817 Brewery,,Micro,Y,,,MS
1840 Brewing Company,www.1840brewing.com,Micro,Y,,,WI
1850 Brewing Company,www.1850restaurant.com,Micro,,,,CA
18th Street Brewery,,Micro,,,,IN
18th Street Brewery,www.18thstreetbrewery.com,Micro,,,,IN
1905 Brewing Company,1905BrewingCompany.com,Micro,Y,,,IL
1912 Brewing,www.1912brewing.com,Micro,Y,,,AZ
192 Brewing,www.192brewing.com,Micro,,,,WA
1940's Brewing Company,www.1940sbrewingcompany.com,Micro,Y,,,NY
1st Republic Brewing Co,www.1strepublic-homebrew.com,Micro,,,,VT
2 Basset Brewery,www.2bassetbrewery.com,Micro,,,,MT
2 Dogz and A Guy Brewing,2dogzandaguybrewing.com,Micro,,,,PA
2 Feet Brewing Company,www.2feetbrewing.com,Brewpub,,,,ME
2 Row Brewing,www.2rowbrewing.com,Micro,Y,,,UT
2 Silos Brewing Company,www.2silosbrewing.com,Micro,Y,,,VA
2 Tones Brewing Co.,www.2tonesbrewingco.com,Micro,Y,,,OH
2 Tread Brewing Co,www.2treadbrewing.com,Brewpub,Y,,,CA
2 Way Brewing Company,www.2waybrewingcompany.com,Brewpub,,,,NY
2 Witches Winery and Brewing Company,www.2witcheswinebrew.com,Micro,,,,VA
20 Corners Brewing LLC,www.20cornersbrewing.com,Brewpub,Y,,,WA
210 Brewing Co,www.angelofthewind.com,Brewpub,,,,WA
212 Brewing Company,,Contract,,,,NY
217 Brew Works,,Micro,Y,,,NC
21st Amendment Brewery,www.21st-Amendment.com,Regional,Y,,,CA
21st Amendment Brewery Cafe,www.21st-amendment.com,Brewpub,Y,,,CA
23 Brewing Company / Lizzie B's Cafe,www.23brewingcompany.com,Brewpub,,,,KY
238 Brewing Company,www.238brewing.com,Micro,,,,WA
23rd Street Brewery,www.brew23.com,Brewpub,Y,,,KS
25 O'Clock Brewing Company,www.25oclock.net,Micro,,,,IL
26 Degree Brewing Company,,Micro,Y,,,FL
28th State Brewing,,Planning,,Y,,TX
2C Family Brewing Co.,,Planning,,Y,,ID
2Kids Brewing Company,www.2kidsBrewing.com,Micro,Y,,,CA
2nd Act Beer,www.2ndact.beer,Contract,,,,NJ
2nd Bridge Brewing Company,www.2ndbridgebrewing.com,Micro,,,,CT
2nd Shift Brewing Co,www.2ndshiftbrewing.com,Brewpub,Y,,,MO
2nd Story Brewing Company,,Brewpub,Y,,,PA
2SP Brewing Company,www.2spbrewing.com,Micro,Y,,,PA
2Toms Brewing Company,www.2tomsbrewing.com,Brewpub,Y,,,IN
3 Beards Beer Company,www.3beardsbeer.com,Contract,,,,MA
3 Daughters Brewing,www.3dbrewing.com,Micro,Y,,,FL
3 Disciples Brewing,www.3disciplesbrewing.com/home,Micro,Y,,,CA
3 Freaks Brewing Co,www.3freaksbrewery.com,Micro,Y,,,CO
3 Iron Brewing Company,www.3ironbrewingco.com,Micro,Y,,,CA
"3 Keys Brewing Company, LLC",www.3keysbrewing.com,Brewpub,Y,,,FL
3 Nations Brewing,www.threenationsbrewing.com,Micro,Y,,,TX
3 Sheeps Brewing Co,www.3sheepsbrewing.com,Micro,Y,,,WI
3 Sheets Brewery,www.3sheetsbrewery.com,Micro,Y,,,OR
3 Sons Brewing Co.,www.3sonsbrewingco.com,Proprietor,Y,,,FL
3 Stars Brewing Co,www.3starsbrewing.com,Micro,Y,,,DC
30 Mile Brewing Co.,www.30milebrewingco.com,Micro,,,,CT
300 Suns Brewing Company,www.300sunsbrewing.com,Brewpub,Y,,,CO
32 North Brewing Co,,Micro,,,,CA
34 Degree North Experiment Station,,Micro,Y,,,NC
350 Brewing Co,www.350brewing.com,Brewpub,Y,,,IL
38 State Brewing,www.38statebrew.com,Micro,Y,,,CO
38°-75° Brewing,,Brewpub,,,,DE
380 Brewing Company,,Planning,,Y,,MT
3cross Fermentation Cooperative,www.3cross.coop,Micro,Y,,,MA
