beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id
"Winter Madness","3 Stars Brewing Company","Winter Warmer",12.4,0,,,,,,,,4,"2012-11-24 23:11:21",https://untappd.com/c/16818558,https://untappd.com/beer/77168,https://untappd.com/brewery/12185,"United States",Washington,DC,,,,16818558,77168,12185
"Victory at Sea","Ballast Point Brewing Company","Porter - Imperial / Double",10,60,,,,,,,,4,"2012-11-25 00:11:31",https://untappd.com/c/16824136,https://untappd.com/beer/6687,https://untappd.com/brewery/68,"United States","San Diego",CA,,,,16824136,6687,68
"Soft DK","Evil Twin Brewing","Stout - American Imperial / Double",10.4,65,,,,,,,,,"2012-12-01 15:44:23",https://untappd.com/c/17144904,https://untappd.com/beer/46865,https://untappd.com/brewery/3735,"United States",Brooklyn,NY,,,,17144904,46865,3735
"Lukie Monster","Oliver Brewing Co.","Brown Ale - American",5.6,0,,,,,,,,,"2012-12-02 20:08:48",https://untappd.com/c/17264548,https://untappd.com/beer/245446,https://untappd.com/brewery/10239,"United States",Baltimore,MD,,,,17264548,245446,10239
"Racer X®","Bear Republic Brewing Co.","IPA - Imperial / Double",8.3,100,,,,,,,,4,"2012-12-06 18:32:59",https://untappd.com/c/17417769,https://untappd.com/beer/2034,https://untappd.com/brewery/94,"United States",Healdsburg,CA,,,,17417769,2034,94
"Naughty Goose","Goose Island Beer Co.","Brown Ale - English",5.7,0,,,,,,,,3,"2012-12-06 18:54:31",https://untappd.com/c/17419511,https://untappd.com/beer/10213,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,17419511,10213,2898
"Old Man Winter Ale","Southern Tier Brewing Company","Winter Ale",7.5,57,,,,,,,,3,"2012-12-06 19:32:32",https://untappd.com/c/17422986,https://untappd.com/beer/11430,https://untappd.com/brewery/4586,"United States",Lakewood,NY,,,,17422986,11430,4586
Pietra,"Brasserie Pietra","Lager - Vienna",6,0,,,,,,,,2,"2012-12-06 19:49:22",https://untappd.com/c/17424654,https://untappd.com/beer/12535,https://untappd.com/brewery/199,France,Furiani,Haute-Corse,,,,17424654,12535,199
"Barrel Aged Brrrbon","Widmer Brothers Brewing","Winter Warmer",9.4,0,,,,,,,,,"2012-12-06 20:21:14",https://untappd.com/c/17428279,https://untappd.com/beer/8580,https://untappd.com/brewery/3028,"United States",Portland,OR,,,,17428279,8580,3028
"XV Reserve 15th Anniversary Ale","Brewery Ommegang","Belgian Strong Dark Ale",9.6,0,,,,,,,,5,"2012-12-06 21:56:39",https://untappd.com/c/17439752,https://untappd.com/beer/208468,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,,17439752,208468,249
"Snow Day","New Belgium Brewing Company","Winter Ale",6.2,40,,,,,,,,2,"2012-12-13 19:40:58",https://untappd.com/c/17840974,https://untappd.com/beer/65937,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,17840974,65937,905
"Marooned on Hog Island","21st Amendment Brewery","Stout - Oyster",7.9,0,,,,,,,,4,"2012-12-13 19:43:36",https://untappd.com/c/17841286,https://untappd.com/beer/271519,https://untappd.com/brewery/4339,"United States","San Francisco",CA,,,,17841286,271519,4339
"Noel de Calabaza","Jolly Pumpkin Artisan Ales","American Wild Ale",9,0,,,,,,,,3,"2012-12-13 20:12:10",https://untappd.com/c/17844231,https://untappd.com/beer/4895,https://untappd.com/brewery/723,"United States",Dexter,MI,,,,17844231,4895,723
"Corsendonk Christmas Ale","Brouwerij Corsendonk","Belgian Strong Dark Ale",8.5,0,,,,,,,,3,"2012-12-13 20:42:10",https://untappd.com/c/17847842,https://untappd.com/beer/1064,https://untappd.com/brewery/246,Belgium,Turnhout,Antwerpen,,,,17847842,1064,246
"Ellie's Brown Ale","Avery Brewing Co.","Brown Ale - American",5.5,28,,,,,,,,3.5,"2012-12-13 22:42:37",https://untappd.com/c/17861191,https://untappd.com/beer/6206,https://untappd.com/brewery/62,"United States",Boulder,CO,,,,17861191,6206,62
"N'Ice Chouffe","Brasserie d'Achouffe","Winter Ale",10,25,,,,,,,,3,"2012-12-13 23:18:04",https://untappd.com/c/17864212,https://untappd.com/beer/7539,https://untappd.com/brewery/11866,Belgium,Achouffe,,,,,17864212,7539,11866
"HogWild IPA","Aviator Brewing Company","IPA - American",6.7,108,,,,,,,,2,"2012-12-15 12:27:57",https://untappd.com/c/17956700,https://untappd.com/beer/9230,https://untappd.com/brewery/1394,"United States","Fuquay Varina",NC,,,,17956700,9230,1394
"Christmas Ale (2012)","Great Lakes Brewing Company","Winter Ale",7.5,0,,,,,,,,4,"2012-12-15 13:08:18",https://untappd.com/c/17958677,https://untappd.com/beer/252977,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,,17958677,252977,3125
"Gonzo Imperial Porter","Flying Dog Brewery","Porter - Imperial / Double",9.2,85,,,,,,,,4,"2012-12-15 13:31:19",https://untappd.com/c/17960014,https://untappd.com/beer/4001,https://untappd.com/brewery/540,"United States",Frederick,MD,,,,17960014,4001,540
"Night Stalker","Goose Island Beer Co.","Stout - American Imperial / Double",11.7,60,,,,,,,,3,"2012-12-15 14:03:56",https://untappd.com/c/17962273,https://untappd.com/beer/5405,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,17962273,5405,2898
ESB,"Schlafly - The Saint Louis Brewery","Extra Special / Strong Bitter",5.8,30,,,,,,,,3,"2012-12-16 14:03:20",https://untappd.com/c/18060281,https://untappd.com/beer/2142,https://untappd.com/brewery/1092,"United States","Saint Louis",MO,,,,18060281,2142,1092
"Winter Solstice","Anderson Valley Brewing Company","Winter Warmer",6.9,5,,,,,,,,4,"2012-12-16 16:28:05",https://untappd.com/c/18070880,https://untappd.com/beer/14814,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,18070880,14814,3880
"Winter Solstice","Anderson Valley Brewing Company","Winter Warmer",6.9,5,,,,,,,,4,"2012-12-16 17:22:12",https://untappd.com/c/18075371,https://untappd.com/beer/14814,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,,18075371,14814,3880
"Stone 12.12.12 Vertical Epic Ale","Stone Brewing","Belgian Strong Dark Ale",9,50,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2012-12-20 17:46:23",https://untappd.com/c/18258013,https://untappd.com/beer/211371,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,18258013,211371,1204
"Bush de Noël","Brasserie Dubuisson","Belgian Strong Dark Ale",12,21,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-20 18:29:23",https://untappd.com/c/18261594,https://untappd.com/beer/12695,https://untappd.com/brewery/188,Belgium,Pipaix,Hainaut,,,,18261594,12695,188
"Nommo Dubbel","Boulevard Brewing Co.","Belgian Dubbel",8,25,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,,"2012-12-20 19:49:31",https://untappd.com/c/18270016,https://untappd.com/beer/50176,https://untappd.com/brewery/1514,"United States","Kansas City",MO,,,,18270016,50176,1514
"Pandemic Porter","3 Stars Brewing Company","Porter - Imperial / Double",9.6,0,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,4,"2012-12-20 21:03:51",https://untappd.com/c/18279015,https://untappd.com/beer/340365,https://untappd.com/brewery/12185,"United States",Washington,DC,,,,18279015,340365,12185
"Essential Pale Ale®","Port City Brewing","Pale Ale - American",5.5,35,,"R.F.D. Washington",Washington,D.C.,"United States",38.9003,-77.0221,3,"2012-12-20 22:54:58",https://untappd.com/c/18291944,https://untappd.com/beer/29096,https://untappd.com/brewery/7771,"United States",Alexandria,VA,,,,18291944,29096,7771
