state,geoid,name,total_pop,total_hholds,speak_only_english,educ_less_than_hs,educ_hs_grad,educ_some_college,educ_college_grad,educ_post_grad,income_u10k,income_10k_to_u15k,income_15k_to_u25k,income_25k_to_u35k,income_35k_to_u50k,income_50k_to_u65k,income_65k_to_u75k,income_75k_or_more,marital_never_married,livinginarea_1_to_4,livinginarea_5_to_17,livinginarea_18_to_19,livinginarea_20_to_49,livinginarea_50_plus,citizenship_non_citizen,incomepovertyratio_u1,incomepovertyratio_1_to_2,incomepovertyratio_2_plus,hh_with_earnings,employ_employed,employ_unemployed,inequality_index_gini,hhtype_married_couple,hhtype_m_householder,hhtype_f_householder,hhtype_living_alone,traveltowork_drove_alone,traveltowork_carpooled,traveltowork_public_transit,commutetime_u10,commutetime_10_30,commutetime_30_60,commute_time_60_90,commutetime_90_plus,structure_year_built_median,worktype_for_profit,worktype_non_profit,worktype_government
AL,_01001,"Autauga County, Alabama",4560,1872,0.9633406955090728,0.14963932759223364,0.3464997298929105,0.2854873049667927,0.14576249642505323,0.07261114112300994,0.19425326459581818,0.08853008138591578,0.12542851909036193,0.1425169444953288,0.14484599481851726,0.07316881689477403,0.0362703791903279,0.0798942768167901,0.2526627064088138,0.05377991222985841,0.2193632524633601,0.031858077337087023,0.4183986089260578,0.27660014904363667,0.008974669248144563,0.12977730965994583,0.1782275052663256,0.6919951850737286,0.8133202099737533,0.62363402614099,0.03819370044996786,0.41,0.5499234470691163,0.044017935258092736,0.133584864391951,0.24054024496937884,0.8545112452962282,0.09936991336308743,0.00280038505294478,0.1074183710082526,0.4963222102619304,0.36329386437029065,0.02412988876928597,0.008835665590240401,1987.0,0.9498082955733705,0.897778763585665,4.097785100922082
AL,_01003,"Baldwin County, Alabama",10722,5295,0.9540076643557849,0.1253868533119703,0.297702070244972,0.3106379390310748,0.1747354218493064,0.09153771556267656,0.19604852287280733,0.0899802857841797,0.1709308851251205,0.1268832832083807,0.12475357230224626,0.07718043543954067,0.025268732102513923,0.08854848689796095,0.20638049875527031,0.05085896487761114,0.17358728465259507,0.02606597723167198,0.3784113089970054,0.37107646424111634,0.02021546887445711,0.18229139281770862,0.22388138177611863,0.5938272254061727,0.7564710863249485,0.5714964509455617,0.033414475463643206,0.437,0.5839671810444254,0.03249777362512227,0.10566886140998875,0.22942610625282858,0.8288605482095819,0.10777716923558407,0.002855801580471012,0.14631651209433175,0.4788736186079067,0.3057436297801887,0.047125492993767754,0.021940746523805038,1992.0,0.9602376757522368,1.001243652191937,4.400801464745915
AL,_01005,"Barbour County, Alabama",2479,1102,0.9575707453885154,0.29740791268758526,0.3624879995957759,0.21646202819463392,0.0706886968824213,0.05295336263958365,0.29338962705409993,0.11796845895939402,0.14665342108530982,0.10948300840266567,0.07653462477751563,0.03870193302702926,0.016639761579535575,0.032244712115567696,0.3236888944078811,0.04781661653355461,0.16848183106869966,0.02994156899353456,0.4307644435224562,0.322995539881755,0.022418501163065097,0.3385152284263959,0.2880710659898477,0.37341370558375636,0.6913104744011273,0.4431832566774969,0.04793451200472594,0.471,0.4542038515735087,0.04142790042273368,0.20234852043212775,0.2747768905589479,0.8202633647798742,0.1150746855345912,0.0030463836477987423,0.21815622800844475,0.4641600482557555,0.24841660802251936,0.043229114305820854,0.026038001407459536,1980.0,0.9814993564993565,0.7449726512226512,4.0268259330759335
AL,_01007,"Bibb County, Alabama",1348,579,0.9862226186936267,0.27841811029056523,0.3980951066326178,0.2125750569397474,0.07888743184484781,0.032024294292221686,0.24255935147654892,0.11389693109438333,0.1390851187029531,0.1305153445280834,0.10619571511291256,0.061030689056166765,0.02113491603937464,0.04719166184134337,0.2360162130862768,0.045863476163977,0.18350027824151363,0.022723056946763125,0.43530884808013354,0.3126043405676127,0.0037737607156168467,0.13833296679129095,0.23619969210468442,0.6254673411040246,0.7382059800664452,0.5323501427212178,0.026819695528068507,0.395,0.5614617940199336,0.060996677740863786,0.11933554817275747,0.24093023255813953,0.831789594053745,0.12315608919382505,0.006518010291595197,0.10242214532871972,0.3356401384083045,0.46482122260668973,0.06585928489042676,0.03125720876585929,1980.0,0.9542047158239062,1.0826632138476215,3.3197492163009406
AL,_01009,"Blount County, Alabama",4389,1875,0.9315543494647972,0.271340195466833,0.364758785610314,0.2407465169473903,0.08257953836556457,0.04057496360989811,0.20532537841122528,0.10546900894928737,0.1716495414871285,0.1275218207932825,0.12279306154016131,0.06783780797701912,0.018671969948072038,0.048348248812285936,0.20545796044635953,0.05283162295705055,0.18198765633201208,0.024741633635590305,0.40592930444697833,0.3345097826283687,0.03797267798042391,0.11940527283874923,0.2918454935622318,0.588749233599019,0.7434470563761182,0.5604776926543488,0.03359621451104101,0.414,0.6084876222175993,0.04014978156854587,0.09054503848554192,0.23907842729353027,0.8000497698146074,0.15018041557795198,0.0006635975280992078,0.10745885873049797,0.2945073733703783,0.45885873049796966,0.1084847189570421,0.03069031844411199,1983.0,0.9971751412429378,0.976652372200667,4.134265877067592
AL,_01011,"Bullock County, Alabama",537,271,0.9744273301737757,0.30091356289529164,0.38552354181307097,0.22333099086437105,0.060295151089248065,0.02993675333801827,0.2688528336380256,0.08855118829981719,0.21229433272394882,0.10454753199268739,0.08775137111517367,0.028679159049360147,0.006741316270566728,0.033820840950639856,0.4454981718464351,0.05191707943496606,0.17336268574573474,0.04925701706108971,0.4125848468170978,0.3128783709411117,0.0014656041036914904,0.5214748784440842,0.18557536466774716,0.29294975688816854,0.6989055739373886,0.5041603187624517,0.06023672799718739,0.54,0.3318910664291168,0.066938152201578,0.23441079155001274,0.3100025451768898,0.8266269249875807,0.1085444610034774,0.0,0.3101361573373676,0.3610690872415532,0.23802319717599596,0.0907715582450832,0.0,1977.0,0.8997763488957227,1.8201006429969249,4.895443108750349
AL,_01013,"Butler County, Alabama",1587,812,0.9845761089245825,0.23404096277470474,0.3901181043504261,0.2526536104051428,0.0956794737628943,0.02750784870683211,0.2569919204474829,0.1218769422001243,0.17725295214418893,0.11404599129894344,0.1057799875699192,0.04978247358607831,0.012802983219390926,0.032628962088253576,0.2916718458669981,0.055162659123055166,0.18465590401404672,0.028581183241476855,0.37467687655465054,0.35692337706677074,0.00827183119520531,0.2791889007470651,0.3346851654215582,0.3861259338313767,0.6864448857994042,0.5160473507628031,0.05121225549154903,0.452,0.4080188679245283,0.04791459781529295,0.21338133068520357,0.31901688182720955,0.8688131313131313,0.10921717171717171,0.004797979797979798,0.16581892166836215,0.487029501525941,0.2508901322482197,0.07477110885045778,0.021490335707019328,1976.0,0.9509803921568627,0.7062146892655368,4.247715187770023
AL,_01015,"Calhoun County, Alabama",8266,3683,0.9609538709524487,0.21576583103897987,0.340451317990805,0.26877527631041614,0.10409558562000237,0.0709119890397966,0.23602136357642095,0.1178513341245769,0.156699195569036,0.11637874192272188,0.11240054507890457,0.07239878675985757,0.02349553826541826,0.05496944920655853,0.24385687282957494,0.05154667075624036,0.16903771729619038,0.021795022146845765,0.41102921940262155,0.34659137039810195,0.014596924820083386,0.24100058464879312,0.23694980372504804,0.5220496116261588,0.7310717170428942,0.5344602218771297,0.05639656347406406,0.454,0.4707520299281554,0.04691153339284955,0.14904561493006843,0.2923096543808188,0.8639891052938761,0.0959123235554787,0.0025075117269406197,0.15317531797113548,0.5713595325439887,0.2205478549304747,0.028491092414823276,0.026426202139577797,1976.0,0.9036424875863746,0.7794367859995138,4.119136081113927
AL,_01017,"Chambers County, Alabama",2860,1393,0.9836978253514195,0.2798209279946446,0.3570143508639806,0.25986360403330405,0.07208903393163466,0.03121208317643613,0.24734603424241342,0.1475855166744111,0.17274904385745435,0.13032133538263574,0.10612288665689673,0.04671694606283733,0.015119562497766022,0.023662294027236658,0.2624298530936126,0.05217542537464854,0.17365720745528856,0.02516014956955274,0.38746050610162613,0.361546711498884,0.005734209313047487,0.2247920997920998,0.28586278586278585,0.48934511434511435,0.7154037448800468,0.5133948018004937,0.07147524321184841,0.418,0.47849619660620246,0.05610005851375073,0.15411059098888238,0.29754242246928025,0.8500111598839372,0.1113756416933264,0.0024551744661855516,0.12615220537822808,0.5622000457073207,0.2769863639826312,0.01790203397577512,0.016759350956044795,1973.0,0.9942700065817492,0.9831584652909521,3.3865809748732048
AL,_01019,"Cherokee County, Alabama",1861,980,0.9898258320400068,0.29956071187204325,0.35554178869114667,0.24521288578508674,0.06150033791394458,0.03818427573777878,0.2406968709900306,0.12550587306287633,0.1768828348632909,0.13665975718092982,0.11879380120422466,0.05409140262560458,0.02062975027144408,0.04505971769815418,0.15260092784522752,0.039379574184963406,0.155563872255489,0.021706586826347306,0.38830671989354626,0.395043246839654,0.0,0.21094250908313741,0.2799743534943364,0.5090831374225262,0.7138680440502875,0.5071852075168325,0.06361169731685258,0.42,0.6200175421498879,0.026020855667088977,0.09112172302894454,0.23925543319364584,0.7719749151845379,0.1679860182995785,0.0,0.1265532003759006,0.4285266785005743,0.36211757335282446,0.0548188367964916,0.027983710974209042,1981.0,0.9792957060338228,0.9979469691697405,3.790695246711671
