variable	label
B00001_001	Unweighted Sample Count of the Population
B00002_001	Unweighted Sample Housing Units
B01001_001	Total: Sex by Age
B01001_002	Male: Sex by Age
B01001_003	Male:!!Under 5 years
B01001_004	Male:!!5 to 9 years
B01001_005	Male:!!10 to 14 years
B01001_006	Male:!!15 to 17 years
B01001_007	Male:!!18 and 19 years
B01001_008	Male:!!20 years
B01001_009	Male:!!21 years
B01001_010	Male:!!22 to 24 years
B01001_011	Male:!!25 to 29 years
B01001_012	Male:!!30 to 34 years
B01001_013	Male:!!35 to 39 years
B01001_014	Male:!!40 to 44 years
B01001_015	Male:!!45 to 49 years
B01001_016	Male:!!50 to 54 years
B01001_017	Male:!!55 to 59 years
B01001_018	Male:!!60 and 61 years
B01001_019	Male:!!62 to 64 years
B01001_020	Male:!!65 and 66 years
B01001_021	Male:!!67 to 69 years
B01001_022	Male:!!70 to 74 years
B01001_023	Male:!!75 to 79 years
B01001_024	Male:!!80 to 84 years
B01001_025	Male:!!85 years and over
B01001_026	Female: Sex by Age
B01001_027	Female:!!Under 5 years
B01001_028	Female:!!5 to 9 years
B01001_029	Female:!!10 to 14 years
B01001_030	Female:!!15 to 17 years
B01001_031	Female:!!18 and 19 years
B01001_032	Female:!!20 years
B01001_033	Female:!!21 years
B01001_034	Female:!!22 to 24 years
B01001_035	Female:!!25 to 29 years
B01001_036	Female:!!30 to 34 years
B01001_037	Female:!!35 to 39 years
B01001_038	Female:!!40 to 44 years
B01001_039	Female:!!45 to 49 years
B01001_040	Female:!!50 to 54 years
B01001_041	Female:!!55 to 59 years
B01001_042	Female:!!60 and 61 years
B01001_043	Female:!!62 to 64 years
B01001_044	Female:!!65 and 66 years
B01001_045	Female:!!67 to 69 years
B01001_046	Female:!!70 to 74 years
B01001_047	Female:!!75 to 79 years
B01001_048	Female:!!80 to 84 years
B01001_049	Female:!!85 years and over
B06007_001	Total: Language
B06007_002	Speak only English
B06007_003	Speak Spanish:
B06009_001	Total: Education
B06009_002	Less than high school graduate
B06009_003	High school graduate (includes equivalency)
B06009_004	Some college or associate's degree
B06009_005	Bachelor's degree
B06009_006	Graduate or professional degree
B06010_001	Total: Income
B06010_002	No income
B06010_004	$1 to $9,999 or loss
B06010_005	$10,000 to $14,999
B06010_006	$15,000 to $24,999
B06010_007	$25,000 to $34,999
