geoid,rate_2010,state,urbanity,name,total_pop,total_hholds,speak_only_english,educ_less_than_hs,educ_hs_grad,educ_some_college,educ_college_grad,educ_post_grad,income_u10k,income_10k_to_u15k,income_15k_to_u25k,income_25k_to_u35k,income_35k_to_u50k,income_50k_to_u65k,income_65k_to_u75k,income_75k_or_more,marital_never_married,livinginarea_1_to_4,livinginarea_5_to_17,livinginarea_18_to_19,livinginarea_20_to_49,livinginarea_50_plus,citizenship_non_citizen,incomepovertyratio_u1,incomepovertyratio_1_to_2,incomepovertyratio_2_plus,hh_with_earnings,employ_employed,employ_unemployed,inequality_index_gini,hhtype_married_couple,hhtype_m_householder,hhtype_f_householder,hhtype_living_alone,traveltowork_drove_alone,traveltowork_carpooled,traveltowork_public_transit,commutetime_u10,commutetime_10_30,commutetime_30_60,commute_time_60_90,commutetime_90_plus,structure_year_built_median,worktype_for_profit,worktype_non_profit,worktype_government
_01001,0.78,AL,medium_metro,"Autauga County, Alabama",4560.0,1872.0,0.9633406955090728,0.14963932759223364,0.3464997298929105,0.2854873049667927,0.14576249642505326,0.07261114112300994,0.19425326459581815,0.08853008138591577,0.12542851909036193,0.1425169444953288,0.14484599481851726,0.07316881689477403,0.0362703791903279,0.0798942768167901,0.2526627064088138,0.05377991222985841,0.2193632524633601,0.031858077337087023,0.4183986089260578,0.2766001490436367,0.008974669248144563,0.12977730965994586,0.1782275052663256,0.6919951850737286,0.8133202099737533,0.62363402614099,0.038193700449967866,0.41,0.5499234470691163,0.044017935258092736,0.133584864391951,0.24054024496937884,0.8545112452962282,0.09936991336308744,0.00280038505294478,0.1074183710082526,0.4963222102619304,0.36329386437029065,0.02412988876928597,0.008835665590240401,1987.0,0.9498082955733704,0.8977787635856651,4.097785100922082
_01003,0.73,AL,small_metro,"Baldwin County, Alabama",10722.0,5295.0,0.9540076643557848,0.1253868533119703,0.297702070244972,0.3106379390310748,0.1747354218493064,0.09153771556267656,0.19604852287280733,0.0899802857841797,0.1709308851251205,0.1268832832083807,0.12475357230224625,0.07718043543954067,0.025268732102513927,0.08854848689796095,0.20638049875527031,0.050858964877611136,0.17358728465259507,0.02606597723167198,0.3784113089970054,0.3710764642411163,0.020215468874457108,0.18229139281770865,0.22388138177611866,0.5938272254061727,0.7564710863249485,0.5714964509455617,0.033414475463643206,0.43700000000000006,0.5839671810444254,0.03249777362512227,0.10566886140998877,0.22942610625282855,0.8288605482095819,0.10777716923558407,0.0028558015804710122,0.14631651209433175,0.4788736186079067,0.3057436297801887,0.04712549299376776,0.02194074652380504,1992.0,0.9602376757522368,1.001243652191937,4.400801464745915
_01005,0.63,AL,non_core,"Barbour County, Alabama",2479.0,1102.0,0.9575707453885154,0.2974079126875853,0.3624879995957759,0.21646202819463392,0.0706886968824213,0.05295336263958365,0.29338962705409993,0.11796845895939402,0.14665342108530982,0.10948300840266567,0.07653462477751563,0.03870193302702926,0.016639761579535575,0.032244712115567696,0.3236888944078811,0.04781661653355461,0.16848183106869966,0.029941568993534562,0.4307644435224562,0.322995539881755,0.022418501163065097,0.3385152284263959,0.2880710659898477,0.3734137055837564,0.6913104744011273,0.4431832566774969,0.04793451200472594,0.47100000000000003,0.4542038515735087,0.04142790042273368,0.20234852043212773,0.2747768905589479,0.8202633647798742,0.1150746855345912,0.0030463836477987428,0.21815622800844475,0.4641600482557555,0.24841660802251936,0.04322911430582085,0.026038001407459536,1980.0,0.9814993564993564,0.7449726512226512,4.0268259330759335
_01007,0.58,AL,large_fringe_metro,"Bibb County, Alabama",1348.0,579.0,0.9862226186936268,0.27841811029056523,0.3980951066326178,0.2125750569397474,0.07888743184484781,0.032024294292221686,0.2425593514765489,0.11389693109438333,0.1390851187029531,0.1305153445280834,0.10619571511291256,0.061030689056166765,0.02113491603937464,0.047191661841343366,0.2360162130862768,0.045863476163977006,0.18350027824151366,0.022723056946763125,0.4353088480801336,0.3126043405676127,0.0037737607156168467,0.13833296679129095,0.2361996921046844,0.6254673411040246,0.7382059800664452,0.5323501427212178,0.02681969552806851,0.395,0.5614617940199336,0.060996677740863786,0.11933554817275747,0.24093023255813956,0.831789594053745,0.12315608919382505,0.006518010291595197,0.10242214532871972,0.3356401384083045,0.4648212226066897,0.06585928489042676,0.03125720876585929,1980.0,0.9542047158239062,1.0826632138476215,3.319749216300941
_01009,0.8,AL,large_fringe_metro,"Blount County, Alabama",4389.0,1875.0,0.9315543494647972,0.271340195466833,0.36475878561031394,0.2407465169473903,0.08257953836556457,0.04057496360989811,0.20532537841122528,0.10546900894928736,0.1716495414871285,0.1275218207932825,0.12279306154016133,0.06783780797701912,0.01867196994807204,0.048348248812285936,0.20545796044635956,0.05283162295705055,0.18198765633201208,0.0247416336355903,0.4059293044469783,0.3345097826283687,0.03797267798042391,0.11940527283874924,0.2918454935622318,0.5887492335990191,0.7434470563761182,0.5604776926543488,0.033596214511041014,0.414,0.6084876222175993,0.040149781568545866,0.09054503848554192,0.2390784272935303,0.8000497698146074,0.15018041557795198,0.0006635975280992077,0.10745885873049796,0.2945073733703783,0.4588587304979697,0.1084847189570421,0.030690318444111988,1983.0,0.9971751412429378,0.9766523722006669,4.134265877067592
_01011,0.34,AL,non_core,"Bullock County, Alabama",537.0,271.0,0.9744273301737756,0.30091356289529164,0.38552354181307097,0.22333099086437105,0.06029515108924807,0.02993675333801827,0.2688528336380256,0.08855118829981719,0.2122943327239488,0.1045475319926874,0.08775137111517367,0.02867915904936015,0.0067413162705667285,0.033820840950639856,0.4454981718464351,0.05191707943496606,0.17336268574573474,0.04925701706108971,0.4125848468170978,0.3128783709411117,0.0014656041036914904,0.5214748784440842,0.1855753646677472,0.2929497568881685,0.6989055739373886,0.5041603187624517,0.060236727997187385,0.54,0.3318910664291168,0.06693815220157799,0.23441079155001274,0.3100025451768898,0.8266269249875807,0.1085444610034774,0.0,0.3101361573373676,0.3610690872415532,0.238023197175996,0.0907715582450832,0.0,1977.0,0.8997763488957227,1.8201006429969249,4.8954431087503485
_01013,0.56,AL,non_core,"Butler County, Alabama",1587.0,812.0,0.9845761089245824,0.23404096277470476,0.3901181043504261,0.2526536104051428,0.0956794737628943,0.027507848706832108,0.2569919204474829,0.1218769422001243,0.17725295214418893,0.11404599129894345,0.1057799875699192,0.04978247358607831,0.012802983219390926,0.032628962088253576,0.2916718458669981,0.055162659123055166,0.18465590401404672,0.02858118324147685,0.37467687655465054,0.35692337706677074,0.008271831195205309,0.2791889007470651,0.3346851654215582,0.3861259338313767,0.6864448857994042,0.5160473507628031,0.05121225549154903,0.452,0.4080188679245283,0.04791459781529295,0.2133813306852036,0.31901688182720955,0.8688131313131313,0.10921717171717173,0.004797979797979798,0.16581892166836215,0.48702950152594104,0.2508901322482197,0.07477110885045778,0.021490335707019328,1976.0,0.9509803921568628,0.7062146892655368,4.247715187770023
_01015,0.75,AL,small_metro,"Calhoun County, Alabama",8266.0,3683.0,0.9609538709524488,0.21576583103897987,0.34045131799080497,0.2687752763104161,0.10409558562000236,0.0709119890397966,0.2360213635764209,0.1178513341245769,0.156699195569036,0.11637874192272188,0.11240054507890457,0.07239878675985757,0.02349553826541826,0.05496944920655853,0.2438568728295749,0.051546670756240365,0.16903771729619038,0.021795022146845762,0.4110292194026216,0.34659137039810195,0.014596924820083387,0.2410005846487931,0.23694980372504806,0.5220496116261588,0.7310717170428942,0.5344602218771297,0.05639656347406406,0.45399999999999996,0.4707520299281554,0.04691153339284955,0.14904561493006846,0.2923096543808188,0.8639891052938761,0.0959123235554787,0.0025075117269406197,0.15317531797113548,0.5713595325439887,0.2205478549304747,0.028491092414823282,0.0264262021395778,1976.0,0.9036424875863746,0.7794367859995138,4.119136081113926
_01017,0.74,AL,micropolitan,"Chambers County, Alabama",2860.0,1393.0,0.9836978253514196,0.2798209279946446,0.3570143508639806,0.25986360403330405,0.07208903393163467,0.03121208317643613,0.24734603424241344,0.1475855166744111,0.17274904385745435,0.13032133538263574,0.10612288665689673,0.04671694606283733,0.015119562497766022,0.023662294027236658,0.2624298530936126,0.05217542537464854,0.17365720745528854,0.02516014956955274,0.3874605061016261,0.36154671149888395,0.005734209313047487,0.2247920997920998,0.28586278586278585,0.4893451143451144,0.7154037448800468,0.5133948018004937,0.07147524321184841,0.418,0.4784961966062025,0.05610005851375073,0.15411059098888238,0.29754242246928025,0.8500111598839372,0.1113756416933264,0.002455174466185552,0.12615220537822808,0.5622000457073207,0.2769863639826312,0.017902033975775118,0.016759350956044798,1973.0,0.9942700065817492,0.983158465290952,3.3865809748732048
_01019,0.55,AL,non_core,"Cherokee County, Alabama",1861.0,980.0,0.9898258320400068,0.29956071187204325,0.3555417886911467,0.24521288578508674,0.061500337913944575,0.03818427573777878,0.2406968709900306,0.12550587306287633,0.1768828348632909,0.13665975718092982,0.11879380120422466,0.05409140262560458,0.02062975027144408,0.04505971769815418,0.15260092784522752,0.039379574184963406,0.155563872255489,0.021706586826347303,0.3883067198935463,0.39504324683965397,0.0,0.2109425090831374,0.2799743534943364,0.5090831374225262,0.7138680440502875,0.5071852075168325,0.06361169731685258,0.42,0.6200175421498879,0.026020855667088973,0.09112172302894454,0.23925543319364584,0.7719749151845379,0.1679860182995785,0.0,0.1265532003759006,0.4285266785005743,0.3621175733528245,0.0548188367964916,0.027983710974209042,1981.0,0.9792957060338228,0.9979469691697403,3.7906952467116715
